anomaly_id,anomaly_type,machine_id,operator_id,site_id,start,end,labelled_minutes,severity,description
A0059,abnormal_fuel_burn,EXC006,OP1006,S03,2025-05-13T08:00:00Z,2025-05-13T15:59:00Z,434,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0060,unattended_running,WL001,OP1007,S01,2025-05-13T14:15:00Z,2025-05-13T14:43:00Z,28,high,Engine running at idle with operator out of seat
A0061,proximity_breach,DZ001,OP1009,S02,2025-05-13T09:37:00Z,2025-05-13T09:39:00Z,2,critical,Person/object inside 2 m danger zone while machine moving
A0062,harsh_operation,DZ001,OP1009,S02,2025-05-13T15:11:00Z,2025-05-13T15:51:00Z,40,medium,Abrupt control inputs; hydraulic pressure spikes
A0063,excessive_idling,BH001,OP1011,S01,2025-05-13T10:08:00Z,2025-05-13T10:57:00Z,49,low,Continuous idle block beyond 25 min
A0064,proximity_breach,EXC002,OP1002,S01,2025-05-14T15:11:00Z,2025-05-14T15:12:00Z,1,critical,Person/object inside 2 m danger zone while machine moving
A0065,excessive_idling,EXC006,OP1006,S03,2025-05-14T08:51:00Z,2025-05-14T09:51:00Z,60,low,Continuous idle block beyond 25 min
A0066,unbelted_operation,WL001,OP1007,S01,2025-05-14T15:06:00Z,2025-05-14T15:29:00Z,23,high,Machine operated with seatbelt unfastened
A0067,overheating,WL001,OP1007,S01,2025-05-14T13:40:00Z,2025-05-14T14:17:00Z,22,high,Coolant temperature above safe band on hot day
A0068,overheating,EXC001,OP1001,S01,2025-05-15T13:58:00Z,2025-05-15T14:51:00Z,53,high,Coolant temperature above safe band on hot day
A0069,proximity_breach,EXC003,OP1014,S02,2025-05-15T10:47:00Z,2025-05-15T10:50:00Z,3,critical,Person/object inside 2 m danger zone while machine moving
A0070,fuel_loss,WL002,OP1008,S03,2025-05-15T12:38:00Z,2025-05-15T12:43:00Z,5,high,Fuel level drop while engine off (leak or theft)
A0072,overheating,BH001,OP1011,S01,2025-05-15T14:03:00Z,2025-05-15T15:04:00Z,61,high,Coolant temperature above safe band on hot day
A0073,unbelted_operation,EXC001,OP1007,S01,2025-05-16T15:37:00Z,2025-05-16T15:53:00Z,16,high,Machine operated with seatbelt unfastened
A0074,proximity_breach,EXC003,OP1003,S02,2025-05-16T15:33:00Z,2025-05-16T15:36:00Z,3,critical,Person/object inside 2 m danger zone while machine moving
A0075,overspeed_travel,EXC004,OP1004,S02,2025-05-16T13:31:00Z,2025-05-16T13:32:00Z,1,medium,Travel speed above 10 km/h site limit
A0076,unbelted_operation,EXC006,OP1015,S03,2025-05-16T13:25:00Z,2025-05-16T13:40:00Z,15,high,Machine operated with seatbelt unfastened
A0077,unbelted_operation,DZ001,OP1009,S02,2025-05-16T09:12:00Z,2025-05-16T09:29:00Z,17,high,Machine operated with seatbelt unfastened
A0079,harsh_operation,BH001,OP1011,S01,2025-05-16T16:17:00Z,2025-05-16T16:40:00Z,23,medium,Abrupt control inputs; hydraulic pressure spikes
A0080,unattended_running,BH002,OP1012,S02,2025-05-16T11:01:00Z,2025-05-16T11:27:00Z,26,high,Engine running at idle with operator out of seat
A0081,proximity_breach,EXC002,OP1002,S01,2025-05-17T09:23:00Z,2025-05-17T09:24:00Z,1,critical,Person/object inside 2 m danger zone while machine moving
A0082,harsh_operation,EXC003,OP1003,S02,2025-05-17T13:52:00Z,2025-05-17T14:20:00Z,26,medium,Abrupt control inputs; hydraulic pressure spikes
A0083,unattended_running,EXC004,OP1004,S02,2025-05-17T15:02:00Z,2025-05-17T15:34:00Z,32,high,Engine running at idle with operator out of seat
A0084,overheating,WL001,OP1013,S01,2025-05-17T14:09:00Z,2025-05-17T15:08:00Z,59,high,Coolant temperature above safe band on hot day
A0085,unattended_running,BH002,OP1014,S02,2025-05-17T15:29:00Z,2025-05-17T15:49:00Z,20,high,Engine running at idle with operator out of seat
A0086,overspeed_travel,EXC006,OP1006,S03,2025-05-19T10:18:00Z,2025-05-19T10:20:00Z,2,medium,Travel speed above 10 km/h site limit
A0087,abnormal_fuel_burn,BH002,OP1012,S02,2025-05-19T08:00:00Z,2025-05-19T16:34:00Z,469,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0088,unattended_running,EXC002,OP1002,S01,2025-05-20T14:17:00Z,2025-05-20T14:43:00Z,26,high,Engine running at idle with operator out of seat
A0089,excessive_idling,EXC006,OP1015,S03,2025-05-20T14:04:00Z,2025-05-20T16:07:00Z,43,low,Continuous idle block beyond 25 min
A0090,overheating,EXC001,OP1001,S01,2025-05-21T14:50:00Z,2025-05-21T15:29:00Z,39,high,Coolant temperature above safe band on hot day
A0091,unattended_running,EXC002,OP1002,S01,2025-05-21T14:34:00Z,2025-05-21T14:49:00Z,15,high,Engine running at idle with operator out of seat
A0092,proximity_breach,EXC003,OP1003,S02,2025-05-21T15:51:00Z,2025-05-21T15:54:00Z,3,critical,Person/object inside 2 m danger zone while machine moving
A0093,excessive_idling,EXC006,OP1015,S03,2025-05-21T15:14:00Z,2025-05-21T16:08:00Z,54,low,Continuous idle block beyond 25 min
A0094,unbelted_operation,WL001,OP1007,S01,2025-05-21T10:22:00Z,2025-05-21T10:46:00Z,24,high,Machine operated with seatbelt unfastened
A0095,overspeed_travel,WL002,OP1008,S03,2025-05-21T10:22:00Z,2025-05-21T10:24:00Z,2,medium,Travel speed above 10 km/h site limit
A0096,abnormal_fuel_burn,BH002,OP1012,S02,2025-05-21T15:59:00Z,2025-05-21T16:00:00Z,1,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0097,excessive_idling,BH002,OP1012,S02,2025-05-21T08:00:00Z,2025-05-21T16:00:00Z,435,low,Continuous idle block beyond 25 min
A0098,overheating,EXC001,OP1001,S01,2025-05-22T14:15:00Z,2025-05-22T14:55:00Z,40,high,Coolant temperature above safe band on hot day
A0099,excessive_idling,EXC004,OP1004,S02,2025-05-22T08:50:00Z,2025-05-22T09:48:00Z,58,low,Continuous idle block beyond 25 min
A0100,overspeed_travel,EXC004,OP1004,S02,2025-05-22T14:16:00Z,2025-05-22T14:20:00Z,4,medium,Travel speed above 10 km/h site limit
A0101,unbelted_operation,DZ001,OP1009,S02,2025-05-22T15:25:00Z,2025-05-22T15:40:00Z,15,high,Machine operated with seatbelt unfastened
A0102,proximity_breach,DZ002,OP1010,S03,2025-05-22T13:41:00Z,2025-05-22T13:43:00Z,2,critical,Person/object inside 2 m danger zone while machine moving
A0103,abnormal_fuel_burn,BH001,OP1011,S01,2025-05-22T14:15:00Z,2025-05-22T14:44:00Z,22,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0104,abnormal_fuel_burn,BH001,OP1011,S01,2025-05-22T14:33:00Z,2025-05-22T15:21:00Z,48,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0105,abnormal_fuel_burn,BH001,OP1011,S01,2025-05-22T08:00:00Z,2025-05-22T17:00:00Z,465,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0106,proximity_breach,BH002,OP1012,S02,2025-05-22T13:48:00Z,2025-05-22T13:49:00Z,1,critical,Person/object inside 2 m danger zone while machine moving
A0108,harsh_operation,EXC004,OP1004,S02,2025-05-23T11:40:00Z,2025-05-23T12:00:00Z,20,medium,Abrupt control inputs; hydraulic pressure spikes
A0109,proximity_breach,EXC006,OP1006,S03,2025-05-23T09:03:00Z,2025-05-23T09:05:00Z,2,critical,Person/object inside 2 m danger zone while machine moving
A0110,overheating,WL001,OP1007,S01,2025-05-23T13:56:00Z,2025-05-23T15:05:00Z,69,high,Coolant temperature above safe band on hot day
A0111,excessive_idling,BH001,OP1011,S01,2025-05-23T14:45:00Z,2025-05-23T15:25:00Z,40,low,Continuous idle block beyond 25 min
A0112,harsh_operation,BH001,OP1011,S01,2025-05-23T14:00:00Z,2025-05-23T14:21:00Z,21,medium,Abrupt control inputs; hydraulic pressure spikes
A0113,excessive_idling,EXC002,OP1002,S01,2025-05-24T15:27:00Z,2025-05-24T16:10:00Z,43,low,Continuous idle block beyond 25 min
A0114,harsh_operation,EXC002,OP1002,S01,2025-05-24T15:06:00Z,2025-05-24T15:27:00Z,13,medium,Abrupt control inputs; hydraulic pressure spikes
A0115,excessive_idling,EXC003,OP1003,S02,2025-05-24T09:34:00Z,2025-05-24T10:34:00Z,60,low,Continuous idle block beyond 25 min
A0116,unattended_running,DZ002,OP1010,S03,2025-05-24T11:09:00Z,2025-05-24T11:23:00Z,14,high,Engine running at idle with operator out of seat
A0117,abnormal_fuel_burn,BH002,OP1012,S02,2025-05-24T08:00:00Z,2025-05-24T17:00:00Z,415,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0118,unbelted_operation,EXC003,OP1014,S02,2025-05-26T10:46:00Z,2025-05-26T10:56:00Z,10,high,Machine operated with seatbelt unfastened
A0119,overspeed_travel,WL001,OP1007,S01,2025-05-26T15:17:00Z,2025-05-26T15:20:00Z,3,medium,Travel speed above 10 km/h site limit
A0120,overspeed_travel,WL002,OP1015,S03,2025-05-26T11:08:00Z,2025-05-26T11:12:00Z,4,medium,Travel speed above 10 km/h site limit
A0121,overspeed_travel,DZ001,OP1009,S02,2025-05-26T15:24:00Z,2025-05-26T15:29:00Z,5,medium,Travel speed above 10 km/h site limit
A0122,harsh_operation,DZ001,OP1009,S02,2025-05-26T15:42:00Z,2025-05-26T16:08:00Z,20,medium,Abrupt control inputs; hydraulic pressure spikes
A0123,excessive_idling,BH001,OP1011,S01,2025-05-26T13:35:00Z,2025-05-26T14:06:00Z,31,low,Continuous idle block beyond 25 min
A0124,overheating,BH001,OP1011,S01,2025-05-26T13:42:00Z,2025-05-26T14:23:00Z,41,high,Coolant temperature above safe band on hot day
A0125,unbelted_operation,EXC001,OP1001,S01,2025-05-27T13:50:00Z,2025-05-27T14:15:00Z,25,high,Machine operated with seatbelt unfastened
A0126,overheating,EXC001,OP1001,S01,2025-05-27T14:59:00Z,2025-05-27T16:06:00Z,67,high,Coolant temperature above safe band on hot day
A0127,unbelted_operation,EXC004,OP1004,S02,2025-05-27T14:01:00Z,2025-05-27T14:15:00Z,14,high,Machine operated with seatbelt unfastened
A0128,harsh_operation,EXC004,OP1004,S02,2025-05-27T11:56:00Z,2025-05-27T12:00:00Z,4,medium,Abrupt control inputs; hydraulic pressure spikes
A0129,fuel_loss,DZ002,OP1010,S03,2025-05-27T12:38:00Z,2025-05-27T12:43:00Z,5,high,Fuel level drop while engine off (leak or theft)
A0130,abnormal_fuel_burn,BH002,OP1012,S02,2025-05-27T08:00:00Z,2025-05-27T16:40:00Z,475,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0131,excessive_idling,EXC004,OP1004,S02,2025-05-28T13:58:00Z,2025-05-28T14:56:00Z,58,low,Continuous idle block beyond 25 min
A0132,harsh_operation,EXC004,OP1004,S02,2025-05-28T08:59:00Z,2025-05-28T09:31:00Z,27,medium,Abrupt control inputs; hydraulic pressure spikes
A0133,harsh_operation,EXC004,OP1004,S02,2025-05-29T10:19:00Z,2025-05-29T10:34:00Z,12,medium,Abrupt control inputs; hydraulic pressure spikes
A0134,unbelted_operation,WL001,OP1007,S01,2025-05-29T11:29:00Z,2025-05-29T12:01:00Z,32,high,Machine operated with seatbelt unfastened
A0135,excessive_idling,BH002,OP1014,S02,2025-05-29T13:39:00Z,2025-05-29T14:15:00Z,36,low,Continuous idle block beyond 25 min
A0136,proximity_breach,EXC003,OP1003,S02,2025-05-30T10:20:00Z,2025-05-30T10:22:00Z,2,critical,Person/object inside 2 m danger zone while machine moving
A0137,excessive_idling,BH001,OP1011,S01,2025-05-30T13:44:00Z,2025-05-30T14:21:00Z,37,low,Continuous idle block beyond 25 min
