alert_id,machine_id,operator_id,site_id,alert_code,severity,start,end,duration_min
AL00062,EXC004,OP1004,S02,overspeed,medium,2025-05-10T11:37:00Z,2025-05-10T11:40:00Z,3
AL00063,EXC005,OP1013,S01,harsh_operation,medium,2025-05-10T13:51:00Z,2025-05-10T13:54:00Z,3
AL00064,EXC005,OP1013,S01,harsh_operation,medium,2025-05-10T13:55:00Z,2025-05-10T13:58:00Z,3
AL00065,EXC005,OP1013,S01,proximity_danger,critical,2025-05-10T14:38:00Z,2025-05-10T14:40:00Z,2
AL00066,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-12T09:01:00Z,2025-05-12T09:16:00Z,15
AL00067,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-12T09:18:00Z,2025-05-12T09:29:00Z,11
AL00068,DZ002,OP1010,S03,seatbelt_unfastened_moving,critical,2025-05-12T10:14:00Z,2025-05-12T10:24:00Z,10
AL00069,WL002,OP1008,S03,harsh_operation,medium,2025-05-12T10:48:00Z,2025-05-12T10:52:00Z,4
AL00070,DZ002,OP1010,S03,excessive_idle,low,2025-05-12T11:04:00Z,2025-05-12T12:03:00Z,59
AL00071,WL002,OP1008,S03,excessive_idle,low,2025-05-12T11:47:00Z,2025-05-12T12:08:00Z,21
AL00072,DZ001,OP1009,S02,excessive_idle,low,2025-05-12T14:00:00Z,2025-05-12T14:48:00Z,48
AL00073,DZ001,OP1009,S02,proximity_danger,critical,2025-05-13T09:37:00Z,2025-05-13T09:39:00Z,2
AL00074,EXC001,OP1001,S01,excessive_idle,low,2025-05-13T10:02:00Z,2025-05-13T10:53:00Z,51
AL00075,BH001,OP1011,S01,excessive_idle,low,2025-05-13T10:08:00Z,2025-05-13T10:57:00Z,49
AL00076,EXC003,OP1003,S02,excessive_idle,low,2025-05-13T11:34:00Z,2025-05-13T12:05:00Z,31
AL00077,EXC002,OP1002,S01,excessive_idle,low,2025-05-13T13:34:00Z,2025-05-13T14:00:00Z,26
AL00078,WL001,OP1007,S01,excessive_idle,low,2025-05-13T14:15:00Z,2025-05-13T14:45:00Z,30
AL00079,EXC002,OP1002,S01,excessive_idle,low,2025-05-13T14:15:00Z,2025-05-13T14:35:00Z,20
AL00080,WL001,OP1007,S01,unattended_running,high,2025-05-13T14:15:00Z,2025-05-13T14:43:00Z,28
AL00081,DZ001,OP1009,S02,harsh_operation,medium,2025-05-13T15:12:00Z,2025-05-13T15:15:00Z,3
AL00082,DZ001,OP1009,S02,harsh_operation,medium,2025-05-13T15:24:00Z,2025-05-13T15:27:00Z,3
AL00083,EXC006,OP1006,S03,excessive_idle,low,2025-05-14T08:51:00Z,2025-05-14T09:51:00Z,60
AL00084,WL001,OP1007,S01,coolant_high,high,2025-05-14T13:49:00Z,2025-05-14T14:03:00Z,14
AL00085,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-14T15:06:00Z,2025-05-14T15:08:00Z,2
AL00086,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-14T15:11:00Z,2025-05-14T15:26:00Z,15
AL00087,EXC002,OP1002,S01,proximity_danger,critical,2025-05-14T15:11:00Z,2025-05-14T15:12:00Z,1
AL00088,EXC003,OP1014,S02,proximity_danger,critical,2025-05-15T10:47:00Z,2025-05-15T10:50:00Z,3
AL00089,EXC001,OP1001,S01,coolant_high,high,2025-05-15T14:06:00Z,2025-05-15T14:59:00Z,53
AL00090,BH001,OP1011,S01,coolant_high,high,2025-05-15T14:11:00Z,2025-05-15T15:12:00Z,61
AL00091,DZ001,OP1009,S02,seatbelt_unfastened_moving,critical,2025-05-16T09:12:00Z,2025-05-16T09:13:00Z,1
AL00092,DZ001,OP1009,S02,seatbelt_unfastened_moving,critical,2025-05-16T09:17:00Z,2025-05-16T09:23:00Z,6
AL00093,BH002,OP1012,S02,unattended_running,high,2025-05-16T11:01:00Z,2025-05-16T11:27:00Z,26
AL00094,BH002,OP1012,S02,excessive_idle,low,2025-05-16T11:01:00Z,2025-05-16T11:29:00Z,28
AL00095,EXC006,OP1015,S03,seatbelt_unfastened_moving,critical,2025-05-16T13:25:00Z,2025-05-16T13:37:00Z,12
AL00096,EXC004,OP1004,S02,overspeed,medium,2025-05-16T13:31:00Z,2025-05-16T13:32:00Z,1
AL00097,EXC006,OP1015,S03,seatbelt_unfastened_moving,critical,2025-05-16T13:39:00Z,2025-05-16T13:40:00Z,1
AL00098,EXC003,OP1003,S02,proximity_danger,critical,2025-05-16T15:33:00Z,2025-05-16T15:36:00Z,3
AL00099,EXC001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-16T15:37:00Z,2025-05-16T15:39:00Z,2
AL00100,EXC001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-16T15:41:00Z,2025-05-16T15:42:00Z,1
AL00101,EXC001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-16T15:44:00Z,2025-05-16T15:45:00Z,1
AL00102,EXC001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-16T15:47:00Z,2025-05-16T15:53:00Z,6
AL00103,BH001,OP1011,S01,harsh_operation,medium,2025-05-16T16:24:00Z,2025-05-16T16:27:00Z,3
AL00104,BH001,OP1011,S01,harsh_operation,medium,2025-05-16T16:29:00Z,2025-05-16T16:34:00Z,5
AL00105,BH001,OP1011,S01,harsh_operation,medium,2025-05-16T16:35:00Z,2025-05-16T16:40:00Z,5
AL00106,EXC002,OP1002,S01,proximity_danger,critical,2025-05-17T09:23:00Z,2025-05-17T09:24:00Z,1
AL00107,EXC003,OP1003,S02,harsh_operation,medium,2025-05-17T13:52:00Z,2025-05-17T13:55:00Z,3
AL00108,EXC003,OP1003,S02,harsh_operation,medium,2025-05-17T14:03:00Z,2025-05-17T14:06:00Z,3
AL00109,EXC003,OP1003,S02,harsh_operation,medium,2025-05-17T14:14:00Z,2025-05-17T14:17:00Z,3
AL00110,WL001,OP1013,S01,coolant_high,high,2025-05-17T14:19:00Z,2025-05-17T15:14:00Z,55
AL00111,EXC004,OP1004,S02,excessive_idle,low,2025-05-17T15:02:00Z,2025-05-17T15:34:00Z,32
AL00112,EXC004,OP1004,S02,unattended_running,high,2025-05-17T15:02:00Z,2025-05-17T15:34:00Z,32
AL00113,BH002,OP1014,S02,unattended_running,high,2025-05-17T15:29:00Z,2025-05-17T15:49:00Z,20
AL00114,BH002,OP1014,S02,excessive_idle,low,2025-05-17T15:29:00Z,2025-05-17T15:49:00Z,20
AL00115,EXC006,OP1006,S03,overspeed,medium,2025-05-19T10:18:00Z,2025-05-19T10:20:00Z,2
AL00116,EXC006,OP1015,S03,excessive_idle,low,2025-05-20T14:04:00Z,2025-05-20T14:40:00Z,36
AL00117,EXC002,OP1002,S01,excessive_idle,low,2025-05-20T14:17:00Z,2025-05-20T14:43:00Z,26
AL00118,EXC002,OP1002,S01,unattended_running,high,2025-05-20T14:17:00Z,2025-05-20T14:43:00Z,26
AL00119,WL002,OP1008,S03,overspeed,medium,2025-05-21T10:22:00Z,2025-05-21T10:24:00Z,2
AL00120,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-21T10:22:00Z,2025-05-21T10:36:00Z,14
AL00121,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-21T10:44:00Z,2025-05-21T10:46:00Z,2
AL00122,EXC002,OP1002,S01,unattended_running,high,2025-05-21T14:34:00Z,2025-05-21T14:49:00Z,15
AL00123,EXC001,OP1001,S01,coolant_high,high,2025-05-21T14:57:00Z,2025-05-21T15:37:00Z,40
AL00124,EXC006,OP1015,S03,excessive_idle,low,2025-05-21T15:14:00Z,2025-05-21T16:08:00Z,54
AL00125,EXC003,OP1003,S02,proximity_danger,critical,2025-05-21T15:51:00Z,2025-05-21T15:54:00Z,3
AL00126,EXC004,OP1004,S02,excessive_idle,low,2025-05-22T08:50:00Z,2025-05-22T09:48:00Z,58
AL00127,DZ002,OP1010,S03,proximity_danger,critical,2025-05-22T13:41:00Z,2025-05-22T13:43:00Z,2
AL00128,BH002,OP1012,S02,proximity_danger,critical,2025-05-22T13:48:00Z,2025-05-22T13:49:00Z,1
AL00129,BH001,OP1011,S01,harsh_operation,medium,2025-05-22T14:15:00Z,2025-05-22T14:18:00Z,3
AL00130,EXC004,OP1004,S02,overspeed,medium,2025-05-22T14:16:00Z,2025-05-22T14:20:00Z,4
AL00131,BH001,OP1011,S01,harsh_operation,medium,2025-05-22T14:23:00Z,2025-05-22T14:26:00Z,3
AL00132,EXC001,OP1001,S01,coolant_high,high,2025-05-22T14:29:00Z,2025-05-22T15:02:00Z,33
AL00133,BH001,OP1011,S01,harsh_operation,medium,2025-05-22T14:37:00Z,2025-05-22T14:44:00Z,7
AL00134,BH001,OP1011,S01,coolant_high,high,2025-05-22T14:42:00Z,2025-05-22T15:29:00Z,47
AL00135,DZ001,OP1009,S02,seatbelt_unfastened_moving,critical,2025-05-22T15:25:00Z,2025-05-22T15:40:00Z,15
AL00136,EXC006,OP1006,S03,proximity_danger,critical,2025-05-23T09:03:00Z,2025-05-23T09:05:00Z,2
AL00137,WL001,OP1007,S01,coolant_high,high,2025-05-23T14:04:00Z,2025-05-23T15:12:00Z,68
AL00138,BH001,OP1011,S01,harsh_operation,medium,2025-05-23T14:08:00Z,2025-05-23T14:12:00Z,4
AL00139,BH001,OP1011,S01,harsh_operation,medium,2025-05-23T14:13:00Z,2025-05-23T14:16:00Z,3
AL00140,BH001,OP1011,S01,excessive_idle,low,2025-05-23T14:45:00Z,2025-05-23T15:25:00Z,40
AL00141,EXC003,OP1003,S02,excessive_idle,low,2025-05-24T09:34:00Z,2025-05-24T10:34:00Z,60
AL00142,DZ002,OP1010,S03,unattended_running,high,2025-05-24T11:09:00Z,2025-05-24T11:23:00Z,14
AL00143,EXC002,OP1002,S01,excessive_idle,low,2025-05-24T15:27:00Z,2025-05-24T16:10:00Z,43
AL00144,EXC003,OP1014,S02,seatbelt_unfastened_moving,critical,2025-05-26T10:48:00Z,2025-05-26T10:56:00Z,8
AL00145,WL002,OP1015,S03,overspeed,medium,2025-05-26T11:08:00Z,2025-05-26T11:12:00Z,4
AL00146,BH001,OP1011,S01,excessive_idle,low,2025-05-26T13:35:00Z,2025-05-26T14:06:00Z,31
AL00147,BH001,OP1011,S01,coolant_high,high,2025-05-26T13:55:00Z,2025-05-26T14:30:00Z,35
AL00148,WL001,OP1007,S01,overspeed,medium,2025-05-26T15:17:00Z,2025-05-26T15:20:00Z,3
AL00149,DZ001,OP1009,S02,overspeed,medium,2025-05-26T15:24:00Z,2025-05-26T15:29:00Z,5
AL00150,DZ001,OP1009,S02,harsh_operation,medium,2025-05-26T15:45:00Z,2025-05-26T15:48:00Z,3
AL00151,DZ001,OP1009,S02,harsh_operation,medium,2025-05-26T15:56:00Z,2025-05-26T15:59:00Z,3
AL00152,EXC001,OP1001,S01,seatbelt_unfastened_moving,critical,2025-05-27T13:50:00Z,2025-05-27T14:11:00Z,21
AL00153,EXC004,OP1004,S02,seatbelt_unfastened_moving,critical,2025-05-27T14:09:00Z,2025-05-27T14:13:00Z,4
AL00154,EXC001,OP1001,S01,coolant_high,high,2025-05-27T15:06:00Z,2025-05-27T16:15:00Z,69
AL00155,EXC004,OP1004,S02,harsh_operation,medium,2025-05-28T09:25:00Z,2025-05-28T09:29:00Z,4
AL00156,EXC004,OP1004,S02,excessive_idle,low,2025-05-28T13:58:00Z,2025-05-28T14:58:00Z,60
AL00157,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-29T11:32:00Z,2025-05-29T11:50:00Z,18
AL00158,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-29T11:57:00Z,2025-05-29T12:01:00Z,4
AL00159,BH002,OP1014,S02,excessive_idle,low,2025-05-29T13:39:00Z,2025-05-29T14:15:00Z,36
AL00160,EXC003,OP1003,S02,proximity_danger,critical,2025-05-30T10:20:00Z,2025-05-30T10:22:00Z,2
AL00161,BH001,OP1011,S01,excessive_idle,low,2025-05-30T13:41:00Z,2025-05-30T14:21:00Z,40
