task_id,date,site_id,machine_id,machine_class,operator_id,task_type,unit,quantity,ground_condition,rain_prev_24h_mm,planned_start,planned_duration_min,actual_start,actual_end,actual_duration_min,productive_min,completed_quantity,status,avg_temp_c,rain_during_task_mm,assigned_by
T00021,2025-05-01,S03,WL002,wheel_loader,OP1008,truck_loading,m3,280,rocky,0.0,2025-05-01 10:42:00,168,2025-05-01 10:33:00,2025-05-01 14:34:00,241.0,132,280.0,completed,32.2,0.0,ADMIN01
T00022,2025-05-01,S03,WL002,wheel_loader,OP1008,stockpiling,m3,280,rocky,0.0,2025-05-01 13:40:00,134,2025-05-01 14:41:00,,,105,220.3,partial,33.6,0.0,ADMIN01
T00023,2025-05-01,S02,DZ001,dozer,OP1009,grading,m2,1385,dry,0.0,2025-05-01 08:08:00,166,2025-05-01 08:08:00,2025-05-01 10:49:00,161.0,136,1385.0,completed,29.2,0.0,ADMIN01
T00024,2025-05-01,S02,DZ001,dozer,OP1009,site_clearing,m2,1195,dry,0.0,2025-05-01 11:49:00,215,2025-05-01 10:57:00,2025-05-01 15:27:00,270.0,194,1195.0,completed,32.9,0.0,ADMIN01
T00025,2025-05-01,S03,DZ002,dozer,OP1010,grading,m2,1590,rocky,0.0,2025-05-01 08:08:00,191,2025-05-01 08:08:00,2025-05-01 11:16:00,188.0,148,1590.0,completed,27.3,0.7,ADMIN01
T00026,2025-05-01,S03,DZ002,dozer,OP1010,site_clearing,m2,810,rocky,0.0,2025-05-01 12:14:00,146,2025-05-01 11:20:00,2025-05-01 14:41:00,201.0,143,810.0,completed,32.8,0.0,ADMIN01
T00027,2025-05-01,S03,DZ002,dozer,OP1010,site_clearing,m2,545,rocky,0.0,2025-05-01 14:50:00,98,2025-05-01 14:47:00,2025-05-01 16:40:00,113.0,93,545.0,completed,33.6,0.0,ADMIN01
T00028,2025-05-01,S01,BH001,backhoe_loader,OP1011,backfilling,m3,70,dry,0.0,2025-05-01 08:08:00,144,2025-05-01 08:05:00,2025-05-01 11:30:00,205.0,132,70.0,completed,33.6,0.0,ADMIN01
T00029,2025-05-01,S01,BH001,backhoe_loader,OP1011,backfilling,m3,55,dry,0.0,2025-05-01 11:27:00,113,2025-05-01 11:42:00,2025-05-01 14:34:00,172.0,99,55.0,completed,37.0,0.0,ADMIN01
T00030,2025-05-01,S01,BH001,backhoe_loader,OP1011,trenching,m3,50,dry,0.0,2025-05-01 13:30:00,180,2025-05-01 14:44:00,,,118,36.1,partial,37.5,0.0,ADMIN01
T00031,2025-05-01,S02,BH002,backhoe_loader,OP1012,backfilling,m3,110,dry,0.0,2025-05-01 08:08:00,226,2025-05-01 08:05:00,2025-05-01 12:01:00,236.0,201,110.0,completed,29.9,0.0,ADMIN01
T00032,2025-05-01,S02,BH002,backhoe_loader,OP1012,backfilling,m3,50,dry,0.0,2025-05-01 12:49:00,103,2025-05-01 12:08:00,2025-05-01 14:49:00,161.0,89,50.0,completed,33.3,0.0,ADMIN01
T00033,2025-05-02,S01,EXC001,mini_excavator,OP1001,trenching,m3,30,dry,0.0,2025-05-02 08:08:00,180,2025-05-02 08:07:00,2025-05-02 11:27:00,200.0,175,30.0,completed,34.7,0.0,ADMIN01
T00034,2025-05-02,S01,EXC001,mini_excavator,OP1001,excavation,m3,40,dry,0.0,2025-05-02 12:03:00,192,2025-05-02 11:38:00,2025-05-02 15:48:00,250.0,171,40.0,completed,38.8,0.0,ADMIN01
T00035,2025-05-02,S01,EXC002,excavator,OP1007,excavation,m3,135,dry,0.0,2025-05-02 08:08:00,139,2025-05-02 08:07:00,2025-05-02 11:23:00,196.0,156,135.0,completed,34.7,0.0,ADMIN01
T00036,2025-05-02,S01,EXC002,excavator,OP1007,trenching,m3,105,dry,0.0,2025-05-02 11:22:00,168,2025-05-02 11:33:00,2025-05-02 16:11:00,278.0,191,105.0,completed,38.8,0.0,ADMIN01
T00037,2025-05-02,S01,EXC002,excavator,OP1007,trenching,m3,65,dry,0.0,2025-05-02 14:20:00,104,2025-05-02 16:22:00,,,27,14.7,partial,38.9,0.0,ADMIN01
T00038,2025-05-02,S02,EXC003,excavator,OP1003,truck_loading,m3,285,dry,0.0,2025-05-02 08:08:00,228,2025-05-02 08:07:00,2025-05-02 14:18:00,371.0,224,285.0,completed,29.8,0.0,ADMIN01
T00039,2025-05-02,S02,EXC003,excavator,OP1003,trenching,m3,115,dry,0.0,2025-05-02 12:51:00,184,2025-05-02 14:26:00,,,139,75.0,partial,32.8,0.0,ADMIN01
T00040,2025-05-02,S02,EXC004,electric_excavator,OP1014,excavation,m3,205,dry,0.0,2025-05-02 08:08:00,211,2025-05-02 08:08:00,2025-05-02 11:36:00,208.0,161,205.0,completed,28.5,0.0,ADMIN01
T00041,2025-05-02,S02,EXC004,electric_excavator,OP1014,truck_loading,m3,145,dry,0.0,2025-05-02 12:34:00,116,2025-05-02 11:46:00,2025-05-02 15:32:00,226.0,90,145.0,completed,32.6,0.0,ADMIN01
T00042,2025-05-02,S01,EXC005,electric_mini_excavator,OP1005,excavation,m3,30,dry,0.0,2025-05-02 08:08:00,144,2025-05-02 08:06:00,2025-05-02 11:36:00,210.0,138,30.0,completed,34.9,0.0,ADMIN01
T00043,2025-05-02,S01,EXC005,electric_mini_excavator,OP1005,excavation,m3,35,dry,0.0,2025-05-02 11:27:00,168,2025-05-02 11:47:00,2025-05-02 15:27:00,220.0,147,35.0,completed,38.8,0.0,ADMIN01
T00044,2025-05-02,S03,EXC006,excavator,OP1015,excavation,m3,155,rocky,0.8,2025-05-02 08:08:00,159,2025-05-02 08:06:00,2025-05-02 13:23:00,317.0,204,155.0,completed,29.4,0.0,ADMIN01
T00045,2025-05-02,S03,EXC006,excavator,OP1015,trenching,m3,90,rocky,0.8,2025-05-02 11:42:00,144,2025-05-02 13:28:00,,,174,83.9,partial,34.2,0.0,ADMIN01
T00046,2025-05-02,S03,EXC006,excavator,OP1015,trenching,m3,120,rocky,0.8,2025-05-02 14:16:00,192,,,,0,0.0,not_started,,0.0,ADMIN01
T00047,2025-05-02,S01,WL001,wheel_loader,OP1007,stockpiling,m3,195,dry,0.0,2025-05-02 08:08:00,94,2025-05-02 08:07:00,2025-05-02 10:37:00,150.0,91,195.0,completed,34.1,0.0,ADMIN01
T00048,2025-05-02,S01,WL001,wheel_loader,OP1007,stockpiling,m3,430,dry,0.0,2025-05-02 10:37:00,206,2025-05-02 10:42:00,,,233,428.3,partial,38.5,0.0,ADMIN01
T00049,2025-05-02,S01,WL001,wheel_loader,OP1007,truck_loading,m3,250,dry,0.0,2025-05-02 14:13:00,150,,,,0,0.0,not_started,,0.0,ADMIN01
T00050,2025-05-02,S03,WL002,wheel_loader,OP1008,truck_loading,m3,195,rocky,0.8,2025-05-02 08:08:00,117,2025-05-02 08:06:00,2025-05-02 10:49:00,163.0,118,195.0,completed,27.7,0.0,ADMIN01
T00051,2025-05-02,S03,WL002,wheel_loader,OP1008,stockpiling,m3,335,rocky,0.8,2025-05-02 11:00:00,161,2025-05-02 10:57:00,2025-05-02 15:06:00,249.0,156,335.0,completed,33.1,0.0,ADMIN01
T00052,2025-05-02,S03,WL002,wheel_loader,OP1008,truck_loading,m3,165,rocky,0.8,2025-05-02 13:51:00,99,2025-05-02 15:16:00,,,72,129.1,partial,34.1,0.0,ADMIN01
T00053,2025-05-02,S02,DZ001,dozer,OP1009,spreading,m3,150,dry,0.0,2025-05-02 08:08:00,98,2025-05-02 08:07:00,2025-05-02 10:29:00,142.0,95,150.0,completed,27.4,0.0,ADMIN01
T00054,2025-05-02,S02,DZ001,dozer,OP1009,spreading,m3,345,dry,0.0,2025-05-02 10:41:00,226,2025-05-02 10:41:00,2025-05-02 14:48:00,247.0,176,345.0,completed,31.8,0.0,ADMIN01
T00055,2025-05-02,S02,DZ001,dozer,OP1009,grading,m2,1510,dry,0.0,2025-05-02 14:37:00,181,2025-05-02 14:53:00,,,96,885.3,partial,32.8,0.0,ADMIN01
T00056,2025-05-02,S03,DZ002,dozer,OP1010,grading,m2,1385,rocky,0.8,2025-05-02 08:08:00,166,2025-05-02 08:07:00,2025-05-02 10:48:00,161.0,123,1385.0,completed,27.7,0.0,ADMIN01
T00057,2025-05-02,S03,DZ002,dozer,OP1010,grading,m2,1910,rocky,0.8,2025-05-02 11:49:00,229,2025-05-02 10:53:00,2025-05-02 15:45:00,292.0,205,1910.0,completed,33.3,0.0,ADMIN01
T00058,2025-05-02,S01,BH001,backhoe_loader,OP1011,backfilling,m3,100,dry,0.0,2025-05-02 08:08:00,206,2025-05-02 08:07:00,2025-05-02 11:24:00,197.0,177,100.0,completed,34.7,0.0,ADMIN01
T00059,2025-05-02,S01,BH001,backhoe_loader,OP1011,backfilling,m3,55,dry,0.0,2025-05-02 12:29:00,113,2025-05-02 11:29:00,2025-05-02 15:28:00,239.0,113,55.0,completed,38.5,0.0,ADMIN01
T00060,2025-05-02,S02,BH002,backhoe_loader,OP1012,trenching,m3,55,dry,0.0,2025-05-02 08:08:00,198,2025-05-02 08:05:00,2025-05-02 12:06:00,241.0,189,55.0,completed,28.8,0.0,ADMIN01
T00061,2025-05-02,S02,BH002,backhoe_loader,OP1012,backfilling,m3,75,dry,0.0,2025-05-02 12:21:00,154,2025-05-02 12:18:00,2025-05-02 15:40:00,202.0,135,75.0,completed,32.8,0.0,ADMIN01
T00062,2025-05-03,S01,EXC001,mini_excavator,OP1001,excavation,m3,25,dry,0.0,2025-05-03 08:08:00,120,2025-05-03 08:08:00,2025-05-03 10:30:00,142.0,111,25.0,completed,32.9,0.0,ADMIN01
T00063,2025-05-03,S01,EXC001,mini_excavator,OP1001,trenching,m3,20,dry,0.0,2025-05-03 10:18:00,120,2025-05-03 10:38:00,2025-05-03 12:19:00,101.0,95,20.0,completed,35.1,0.0,ADMIN01
T00064,2025-05-03,S01,EXC001,mini_excavator,OP1001,excavation,m3,45,dry,0.0,2025-05-03 13:13:00,216,2025-05-03 12:29:00,,,187,40.0,partial,36.7,0.0,ADMIN01
T00065,2025-05-03,S01,EXC002,excavator,OP1001,truck_loading,m3,215,dry,0.0,2025-05-03 08:08:00,172,2025-05-03 08:06:00,2025-05-03 11:35:00,209.0,150,215.0,completed,33.5,0.0,ADMIN01
T00066,2025-05-03,S01,EXC002,excavator,OP1001,trenching,m3,95,dry,0.0,2025-05-03 11:55:00,152,2025-05-03 11:47:00,2025-05-03 15:12:00,205.0,136,95.0,completed,36.4,0.0,ADMIN01
T00067,2025-05-03,S01,EXC002,excavator,OP1001,excavation,m3,155,dry,0.0,2025-05-03 14:37:00,159,2025-05-03 15:24:00,,,78,75.9,partial,36.6,0.0,ADMIN01
T00068,2025-05-03,S02,EXC003,excavator,OP1003,trenching,m3,140,dry,0.0,2025-05-03 08:08:00,224,2025-05-03 08:06:00,2025-05-03 13:41:00,335.0,231,140.0,completed,27.8,3.1,ADMIN01
T00069,2025-05-03,S02,EXC003,excavator,OP1003,truck_loading,m3,275,dry,0.0,2025-05-03 12:47:00,220,2025-05-03 13:53:00,,,86,101.4,partial,30.1,0.0,ADMIN01
T00070,2025-05-03,S02,EXC004,electric_excavator,OP1004,truck_loading,m3,205,dry,0.0,2025-05-03 08:08:00,164,2025-05-03 08:07:00,2025-05-03 11:40:00,213.0,151,205.0,completed,26.8,3.0,ADMIN01
T00071,2025-05-03,S02,EXC004,electric_excavator,OP1004,trenching,m3,135,dry,0.0,2025-05-03 11:47:00,216,2025-05-03 11:48:00,,,107,69.2,partial,30.1,0.0,ADMIN01
T00072,2025-05-03,S01,EXC005,electric_mini_excavator,OP1005,trenching,m3,20,dry,0.0,2025-05-03 08:08:00,120,2025-05-03 08:05:00,2025-05-03 10:18:00,133.0,113,20.0,completed,32.8,0.0,ADMIN01
T00073,2025-05-03,S01,EXC005,electric_mini_excavator,OP1005,trenching,m3,25,dry,0.0,2025-05-03 11:03:00,150,2025-05-03 10:24:00,2025-05-03 13:47:00,203.0,134,25.0,completed,35.4,0.0,ADMIN01
T00074,2025-05-03,S01,EXC005,electric_mini_excavator,OP1005,trenching,m3,30,dry,0.0,2025-05-03 13:43:00,180,2025-05-03 13:58:00,,,122,23.5,partial,36.8,0.0,ADMIN01
T00075,2025-05-03,S03,EXC006,excavator,OP1006,trenching,m3,95,rocky,0.0,2025-05-03 08:08:00,152,2025-05-03 08:07:00,2025-05-03 10:54:00,167.0,135,95.0,completed,26.6,0.0,ADMIN01
T00076,2025-05-03,S03,EXC006,excavator,OP1006,trenching,m3,70,rocky,0.0,2025-05-03 11:35:00,112,2025-05-03 11:02:00,2025-05-03 14:21:00,199.0,112,70.0,completed,30.7,0.0,ADMIN01
T00077,2025-05-03,S03,EXC006,excavator,OP1006,excavation,m3,170,rocky,0.0,2025-05-03 13:37:00,175,2025-05-03 14:30:00,,,124,129.9,partial,31.7,0.0,ADMIN01
T00078,2025-05-03,S01,WL001,wheel_loader,OP1007,stockpiling,m3,375,dry,0.0,2025-05-03 08:08:00,180,2025-05-03 08:08:00,2025-05-03 12:02:00,234.0,156,375.0,completed,33.7,0.0,ADMIN01
T00079,2025-05-03,S01,WL001,wheel_loader,OP1007,stockpiling,m3,285,dry,0.0,2025-05-03 12:03:00,137,2025-05-03 12:06:00,2025-05-03 16:55:00,289.0,164,285.0,completed,36.6,0.0,ADMIN01
T00080,2025-05-03,S01,WL001,wheel_loader,OP1007,truck_loading,m3,225,dry,0.0,2025-05-03 14:30:00,135,,,,0,0.0,not_started,,0.0,ADMIN01
T00081,2025-05-03,S03,WL002,wheel_loader,OP1008,truck_loading,m3,205,rocky,0.0,2025-05-03 08:08:00,123,2025-05-03 08:07:00,2025-05-03 10:32:00,145.0,112,205.0,completed,26.3,0.0,ADMIN01
T00082,2025-05-03,S03,WL002,wheel_loader,OP1008,truck_loading,m3,180,rocky,0.0,2025-05-03 10:21:00,108,2025-05-03 10:43:00,2025-05-03 13:57:00,194.0,97,180.0,completed,30.2,0.0,ADMIN01
T00083,2025-05-03,S03,WL002,wheel_loader,OP1008,stockpiling,m3,255,rocky,0.0,2025-05-03 13:04:00,122,2025-05-03 14:01:00,2025-05-03 16:49:00,168.0,116,255.0,completed,31.8,0.0,ADMIN01
T00084,2025-05-03,S02,DZ001,dozer,OP1009,grading,m2,1765,dry,0.0,2025-05-03 08:08:00,212,2025-05-03 08:05:00,2025-05-03 11:30:00,205.0,189,1765.0,completed,26.7,3.1,ADMIN01
T00085,2025-05-03,S02,DZ001,dozer,OP1009,spreading,m3,195,dry,0.0,2025-05-03 12:35:00,128,2025-05-03 11:38:00,2025-05-03 16:11:00,273.0,122,195.0,completed,30.7,0.0,ADMIN01
T00086,2025-05-03,S03,DZ002,dozer,OP1010,site_clearing,m2,1175,rocky,0.0,2025-05-03 08:08:00,212,2025-05-03 08:06:00,2025-05-03 12:25:00,259.0,205,1175.0,completed,27.7,0.0,ADMIN01
T00087,2025-05-03,S03,DZ002,dozer,OP1010,grading,m2,1500,rocky,0.0,2025-05-03 12:35:00,180,2025-05-03 13:17:00,2025-05-03 16:25:00,188.0,131,1500.0,completed,31.8,0.0,ADMIN01
T00088,2025-05-03,S01,BH001,backhoe_loader,OP1011,trenching,m3,45,dry,0.0,2025-05-03 08:08:00,162,2025-05-03 08:08:00,2025-05-03 11:23:00,195.0,162,45.0,completed,33.4,0.0,ADMIN01
T00089,2025-05-03,S01,BH001,backhoe_loader,OP1011,backfilling,m3,80,dry,0.0,2025-05-03 11:45:00,165,2025-05-03 11:33:00,2025-05-03 14:55:00,202.0,131,80.0,completed,36.3,0.0,ADMIN01
T00090,2025-05-03,S02,BH002,backhoe_loader,OP1012,trenching,m3,55,dry,0.0,2025-05-03 08:08:00,198,2025-05-03 08:05:00,2025-05-03 12:23:00,258.0,192,55.0,completed,27.4,3.1,ADMIN01
T00091,2025-05-03,S02,BH002,backhoe_loader,OP1012,backfilling,m3,70,dry,0.0,2025-05-03 12:21:00,144,2025-05-03 13:15:00,,,110,57.4,partial,30.2,0.0,ADMIN01
T00092,2025-05-05,S01,EXC002,excavator,OP1002,excavation,m3,165,dry,0.0,2025-05-05 08:08:00,170,2025-05-05 08:08:00,2025-05-05 11:25:00,197.0,144,165.0,completed,32.9,1.1,ADMIN01
T00093,2025-05-05,S01,EXC002,excavator,OP1002,excavation,m3,150,dry,0.0,2025-05-05 11:53:00,154,2025-05-05 11:30:00,2025-05-05 15:37:00,247.0,157,150.0,completed,36.2,0.0,ADMIN01
T00094,2025-05-05,S01,EXC002,excavator,OP1002,truck_loading,m3,270,dry,0.0,2025-05-05 14:37:00,216,2025-05-05 15:43:00,,,70,100.5,partial,36.7,0.0,ADMIN01
T00095,2025-05-05,S02,EXC003,excavator,OP1003,trenching,m3,95,dry,0.0,2025-05-05 08:08:00,152,2025-05-05 08:08:00,2025-05-05 10:55:00,167.0,152,95.0,completed,28.5,0.0,ADMIN01
T00096,2025-05-05,S02,EXC003,excavator,OP1003,excavation,m3,170,dry,0.0,2025-05-05 11:35:00,175,2025-05-05 11:07:00,2025-05-05 15:26:00,259.0,175,170.0,completed,33.8,0.0,ADMIN01
T00097,2025-05-05,S02,EXC003,excavator,OP1003,trenching,m3,125,dry,0.0,2025-05-05 14:40:00,200,2025-05-05 15:38:00,,,58,36.0,partial,34.4,0.0,ADMIN01
T00098,2025-05-05,S02,EXC004,electric_excavator,OP1004,trenching,m3,120,dry,0.0,2025-05-05 08:08:00,192,2025-05-05 08:06:00,2025-05-05 11:45:00,219.0,178,120.0,completed,29.3,0.0,ADMIN01
T00099,2025-05-05,S02,EXC004,electric_excavator,OP1004,truck_loading,m3,270,dry,0.0,2025-05-05 12:15:00,216,2025-05-05 11:54:00,,,148,186.5,partial,34.5,0.0,ADMIN01
T00100,2025-05-05,S01,EXC005,electric_mini_excavator,OP1005,trenching,m3,20,dry,0.0,2025-05-05 08:08:00,120,2025-05-05 08:05:00,2025-05-05 10:04:00,119.0,108,20.0,completed,32.6,0.1,ADMIN01
T00101,2025-05-05,S01,EXC005,electric_mini_excavator,OP1005,excavation,m3,30,dry,0.0,2025-05-05 11:03:00,144,2025-05-05 10:09:00,2025-05-05 13:37:00,208.0,145,30.0,completed,34.2,0.9,ADMIN01
T00102,2025-05-05,S01,EXC005,electric_mini_excavator,OP1005,excavation,m3,35,dry,0.0,2025-05-05 13:37:00,168,2025-05-05 13:42:00,,,119,21.7,partial,36.9,0.0,ADMIN01
T00103,2025-05-05,S03,EXC006,excavator,OP1006,trenching,m3,115,rocky,4.2,2025-05-05 08:08:00,184,2025-05-05 08:05:00,2025-05-05 11:46:00,221.0,177,115.0,completed,27.8,0.0,ADMIN01
T00104,2025-05-05,S03,EXC006,excavator,OP1006,truck_loading,m3,155,rocky,4.2,2025-05-05 12:07:00,124,2025-05-05 11:50:00,2025-05-05 15:00:00,190.0,110,155.0,completed,32.0,0.0,ADMIN01
T00105,2025-05-05,S03,EXC006,excavator,OP1006,excavation,m3,105,rocky,4.2,2025-05-05 14:21:00,108,2025-05-05 15:09:00,,,84,82.1,partial,32.3,0.0,ADMIN01
T00106,2025-05-05,S01,WL001,wheel_loader,OP1007,truck_loading,m3,215,dry,0.0,2025-05-05 08:08:00,129,2025-05-05 08:07:00,2025-05-05 11:30:00,203.0,138,215.0,completed,32.9,1.1,ADMIN01
T00107,2025-05-05,S01,WL001,wheel_loader,OP1007,truck_loading,m3,345,dry,0.0,2025-05-05 11:12:00,207,2025-05-05 11:42:00,,,144,278.2,partial,36.5,0.0,ADMIN01
T00108,2025-05-05,S03,WL002,wheel_loader,OP1008,stockpiling,m3,395,rocky,4.2,2025-05-05 08:08:00,190,2025-05-05 08:06:00,2025-05-05 12:04:00,238.0,179,395.0,completed,28.0,0.0,ADMIN01
T00109,2025-05-05,S03,WL002,wheel_loader,OP1008,truck_loading,m3,340,rocky,4.2,2025-05-05 12:13:00,204,2025-05-05 12:09:00,,,171,321.9,partial,32.2,0.0,ADMIN01
T00110,2025-05-05,S02,DZ001,dozer,OP1009,spreading,m3,310,dry,0.0,2025-05-05 08:08:00,203,2025-05-05 08:06:00,2025-05-05 11:25:00,199.0,166,310.0,completed,29.0,0.0,ADMIN01
T00111,2025-05-05,S02,DZ001,dozer,OP1009,spreading,m3,240,dry,0.0,2025-05-05 12:26:00,157,2025-05-05 11:37:00,2025-05-05 14:59:00,202.0,144,240.0,completed,34.0,0.0,ADMIN01
T00112,2025-05-05,S03,DZ002,dozer,OP1010,spreading,m3,180,rocky,4.2,2025-05-05 08:08:00,118,2025-05-05 08:06:00,2025-05-05 09:56:00,110.0,98,180.0,completed,26.4,0.0,ADMIN01
T00113,2025-05-05,S03,DZ002,dozer,OP1010,spreading,m3,235,rocky,4.2,2025-05-05 11:01:00,154,2025-05-05 10:02:00,2025-05-05 13:17:00,195.0,126,235.0,completed,29.9,0.0,ADMIN01
T00114,2025-05-05,S03,DZ002,dozer,OP1010,grading,m2,1665,rocky,4.2,2025-05-05 13:45:00,200,2025-05-05 13:28:00,2025-05-05 16:15:00,167.0,141,1665.0,completed,32.4,0.0,ADMIN01
T00115,2025-05-05,S01,BH001,backhoe_loader,OP1011,trenching,m3,55,dry,0.0,2025-05-05 08:08:00,198,2025-05-05 08:06:00,2025-05-05 11:19:00,193.0,170,55.0,completed,32.8,1.1,ADMIN01
T00116,2025-05-05,S01,BH001,backhoe_loader,OP1011,backfilling,m3,50,dry,0.0,2025-05-05 12:21:00,103,2025-05-05 11:28:00,2025-05-05 14:54:00,206.0,89,50.0,completed,35.7,0.0,ADMIN01
T00117,2025-05-05,S01,BH001,backhoe_loader,OP1011,trenching,m3,30,dry,0.0,2025-05-05 14:14:00,108,2025-05-05 15:05:00,2025-05-05 16:56:00,111.0,96,30.0,completed,36.8,0.0,ADMIN01
T00118,2025-05-05,S02,BH002,backhoe_loader,OP1012,trenching,m3,40,dry,0.0,2025-05-05 08:08:00,144,2025-05-05 08:07:00,2025-05-05 10:27:00,140.0,129,40.0,completed,28.1,0.0,ADMIN01
T00119,2025-05-05,S02,BH002,backhoe_loader,OP1012,trenching,m3,30,dry,0.0,2025-05-05 11:27:00,108,2025-05-05 10:39:00,2025-05-05 12:15:00,96.0,94,30.0,completed,31.9,0.0,ADMIN01
T00120,2025-05-05,S02,BH002,backhoe_loader,OP1012,backfilling,m3,75,dry,0.0,2025-05-05 13:25:00,154,2025-05-05 12:27:00,2025-05-05 15:51:00,204.0,141,75.0,completed,34.6,0.0,ADMIN01
T00121,2025-05-06,S01,EXC001,mini_excavator,OP1001,trenching,m3,30,dry,1.1,2025-05-06 08:08:00,180,2025-05-06 08:07:00,2025-05-06 11:31:00,204.0,157,30.0,completed,34.8,0.0,ADMIN01
T00122,2025-05-06,S01,EXC001,mini_excavator,OP1001,trenching,m3,40,dry,1.1,2025-05-06 12:03:00,240,2025-05-06 11:41:00,2025-05-06 16:53:00,312.0,236,40.0,completed,37.8,0.0,ADMIN01
